symbol;name;ZacksRank_2022-10-04;TheScreener_2022-10-05
WMT;Walmart;2;2
AXP;American Express;2;2
V;Visa;2;3
JPM;JPMorgan Chase;2;1
VZ;Verizon;3;1
UNH;UnitedHealth;3;2
TRV;Travelers;3;3
CRM;Salesforce;3;3
PG;Procter & Gamble;3;3
MSFT;Microsoft;3;1
MRK;Merck;3;1
MCD;McDonald's;3;2
JNJ;Johnson & Johnson;3;2
MMM;3M;3;2
HD;Home Depot;3;2
DIS;Disney;3;1
KO;Coca-Cola;3;2
CSCO;Cisco;3;2
CVX;Chevron;3;1
CAT;Caterpillar;3;2
AAPL;Apple;3;1
AMGN;Amgen;3;2
HON;Honeywell;3;1
WBA;Walgreens Boots Alliance;4;2
GS;Goldman Sachs;4;3
NKE;Nike;4;2
BA;Boeing;4;2
IBM;IBM;4;2
INTC;Intel;5;2
DOW;Dow;5;2
